"filename", "language", "Python", "JSON", "HTML", "SCSS", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\artshelf\artshelf_project\artshelf\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\artshelf\artshelf_project\artshelf\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"d:\artshelf\artshelf_project\artshelf\settings.py", "Python", 83, 0, 0, 0, 0, 0, 29, 40, 152
"d:\artshelf\artshelf_project\artshelf\urls.py", "Python", 16, 0, 0, 0, 0, 0, 16, 3, 35
"d:\artshelf\artshelf_project\artshelf\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"d:\artshelf\artshelf_project\fixtures\goods\categories.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\artshelf\artshelf_project\fixtures\goods\products.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\artshelf\artshelf_project\goods\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\artshelf\artshelf_project\goods\admin.py", "Python", 10, 0, 0, 0, 0, 0, 3, 5, 18
"d:\artshelf\artshelf_project\goods\apps.py", "Python", 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\artshelf\artshelf_project\goods\forms.py", "Python", 7, 0, 0, 0, 0, 0, 1, 3, 11
"d:\artshelf\artshelf_project\goods\migrations\0001_initial.py", "Python", 15, 0, 0, 0, 0, 0, 1, 7, 23
"d:\artshelf\artshelf_project\goods\migrations\0002_tags_alter_categories_options_alter_categories_table_and_more.py", "Python", 44, 0, 0, 0, 0, 0, 1, 6, 51
"d:\artshelf\artshelf_project\goods\migrations\0003_alter_tags_options_alter_tags_table.py", "Python", 15, 0, 0, 0, 0, 0, 1, 6, 22
"d:\artshelf\artshelf_project\goods\migrations\0004_alter_products_options_alter_categories_name_and_more.py", "Python", 26, 0, 0, 0, 0, 0, 1, 6, 33
"d:\artshelf\artshelf_project\goods\migrations\0005_products_user.py", "Python", 15, 0, 0, 0, 0, 0, 1, 6, 22
"d:\artshelf\artshelf_project\goods\migrations\0006_favorite.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"d:\artshelf\artshelf_project\goods\migrations\0007_alter_favorite_options_favorite_added_at_and_more.py", "Python", 37, 0, 0, 0, 0, 0, 1, 6, 44
"d:\artshelf\artshelf_project\goods\migrations\0008_products_material_products_size.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"d:\artshelf\artshelf_project\goods\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\artshelf\artshelf_project\goods\models.py", "Python", 86, 0, 0, 0, 0, 0, 1, 13, 100
"d:\artshelf\artshelf_project\goods\templates\goods\catalog.html", "HTML", 0, 0, 186, 0, 0, 0, 1, 12, 199
